OUX_ICAall_SSP1_OND_OCEN_RES4_V04.csv, Comments: A sample ACCP 8K assessment output file
GV#, GVname, QIscore, mean error, RMSE
 1, AAOD_l_UV_column,    0.879,    0.538,    0.654
 2, AAOD_l_UV_PBL,    0.823,    0.292,    0.954
 3, AAOD_l_VIS_column,    0.155,    0.762,    0.821
 4, AAOD_l_VIS_PBL,    0.694,    0.181,    0.091
 5, AAOD_l_UV_column,    0.721,    0.166,    0.003
 6, AAOD_l_UV_PBL,    0.609,    0.813,    0.814
 7, AAOD_l_VIS_column,    0.270,    0.315,    0.219
 8, AAOD_l_VIS_PBL,    0.818,    0.243,    0.788
 9, ASYM_UV,    0.348,    0.611,    0.990
10, ASYM_VIS,    0.688,    0.209,    0.305
11, AEFR_l_column,    0.670,    0.765,    0.290
12, AEFR_l_PBL,    0.526,    0.135,    0.827
13, AE2BR_l_UV_column,    0.623,    0.095,    0.265
14, AE2BR_l_UV_PBL,    0.747,    0.924,    0.259
15, AE2BR_l_VIS_column,    0.028,    0.756,    0.683
16, AE2BR_l_VIS_PBL,    0.955,    0.754,    0.349
17, AE2BR_l_NIR_column,    0.129,    0.445,    0.194
18, AE2BR_l_NIR_PBL,    0.750,    0.838,    0.633
19, AODF_l_UV_column,    0.925,    0.532,    0.162
20, AODF_l_UV_PBL,    0.320,    0.736,    0.519
21, AODF_l_VIS_column,    0.491,    0.062,    0.438
22, AODF_l_VIS_PBL,    0.493,    0.110,    0.354
23, AODF_l_NIR_column,    0.531,    0.604,    0.566
24, AODF_l_NIR_PBL,    0.594,    0.317,    0.069
25, ANSPH_l_UV_column,    0.463,    0.447,    0.661
26, ANSPH_l_UV_PBL,    0.095,    0.797,    0.953
27, ANSPH_l_VIS_column,    0.988,    0.201,    0.257
28, ANSPH_l_VIS_PBL,    0.576,    0.806,    0.499
29, ANSPH_l_NIR_column,    0.681,    0.414,    0.563
30, ANSPH_l_NIR_PBL,    0.760,    0.133,    0.982
31, AOD_l_UV_column,    0.497,    0.187,    0.676
32, AOD_l_UV_PBL,    0.765,    0.100,    0.128
33, AOD_l_VIS_column,    0.503,    0.377,    0.795
34, AOD_l_VIS_PBL,    0.476,    0.811,    0.888
35, AOD_l_NIR_column,    0.097,    0.547,    0.223
36, AOD_l_NIR_PBL,    0.812,    0.595,    0.759
37, APM25,    0.412,    0.211,    0.147
38, ARIR_l_column,    0.927,    0.330,    0.527
39, ARIR_l_PBL,    0.858,    0.709,    0.774
40, AIIR_l_column,    0.152,    0.196,    0.704
41, AIIR_l_PBL,    0.759,    0.788,    0.397
42, AABS_z_UV_profile_above_PBL,    0.409,    0.044,    0.764
43, AABS_z_UV_profile_in_PBL,    0.947,    0.127,    0.884
44, AABS_z_VIS_profile_above_PBL,    0.670,    0.910,    0.817
45, AABS_z_VIS_profile_in_PBL,    0.681,    0.369,    0.993
46, AEFR_z_profile_above_PBL,    0.148,    0.335,    0.673
47, AEFR_z_profile_in_PBL,    0.867,    0.700,    0.569
48, AEXT_z_UV_profile_above_PBL,    0.157,    0.967,    0.553
49, AEXT_z_UV_profile_in_PBL,    0.200,    0.946,    0.388
50, AEXT_z_VIS_profile_above_PBL,    0.500,    0.900,    0.470
51, AEXT_z_VIS_profile_in_PBL,    0.512,    0.403,    0.142
52, AEXT_z_NIR_profile_above_PBL,    0.916,    0.556,    0.525
53, AEXT_z_NIR_profile_in_PBL,    0.076,    0.289,    0.358
54, AE2BR_z_UV_profile_above_PBL,    0.685,    0.094,    0.782
55, AE2BR_z_UV_profile_in_PBL,    0.691,    0.946,    0.274
56, AE2BR_z_VIS_profile_above_PBL,    0.446,    0.532,    0.633
57, AE2BR_z_VIS_profile_in_PBL,    0.059,    0.695,    0.840
58, AE2BR_z_NIR_profile_above_PBL,    0.029,    0.468,    0.861
59, AE2BR_z_NIR_profile_in_PBL,    0.718,    0.726,    0.157
60, AEXTF_z_UV_profile_above_PBL,    0.333,    0.670,    0.122
61, AEXTF_z_UV_profile_in_PBL,    0.743,    0.570,    0.594
62, AEXTF_z_VIS_profile_above_PBL,    0.968,    0.606,    0.711
63, AEXTF_z_VIS_profile_in_PBL,    0.968,    0.998,    0.394
64, AEXTF_z_NIR_profile_above_PBL,    0.959,    0.988,    0.688
65, AEXTF_z_NIR_profile_in_PBL,    0.105,    0.889,    0.730
66, ANSPH_z_UV_profile_above_PBL,    0.671,    0.531,    0.917
67, ANSPH_z_UV_profile_in_PBL,    0.100,    0.836,    0.312
68, ANSPH_z_VIS_profile_above_PBL,    0.396,    0.796,    0.609
69, ANSPH_z_VIS_profile_in_PBL,    0.403,    0.778,    0.544
70, ANSPH_z_NIR_profile_above_PBL,    0.247,    0.859,    0.375
71, ANSPH_z_NIR_profile_in_PBL,    0.524,    0.956,    0.227
72, ANC_z_profile_above_PBL,    0.747,    0.001,    0.944
73, ANC_z_profile_in_PBL,    0.495,    0.998,    0.462
